Date,Rating,Review,Vehicle Name,Miles Driven on Tires,Driving Conditions,Location,Driving Style
"September 06, 2011",4.0,"Great tire for what it is ,its a sport type tire and not made for comfort but still gets the job done ,and great tread wera so far .",2004 Ford Ranger Reg 2wd XL ,"10,000 Miles",Combined Highway/City,"MYRTLE BEACH, SC",Average
"July 31, 2011",4.5,"I have had these tires before in the past, I have 0 miles on this set as of 07/31/11 due to I'm in process of building both engine/transmission for it. Should have it running by mid August/2011.",1986 Ford F150 2wd Pick-up ,1 Miles,Combined Highway/City,"GILBERT, AZ",Spirited
"July 12, 2011",4.0,Have been great tires so far. BFG and Michelin make a great team. Probably one of the best tires for the money.,1995 Ford Ranger 2wd ,"25,000 Miles",Combined Highway/City,"Huntsville, AL",Easy Going
"June 15, 2011",4.0,These tires are an excellent value which offer good performance and ride comfort with low road noise. I have owned this truck for 21 years and these tires seem to be the best I have had so far. They are the fifth set of I have had including the OEM tires.,1990 Chevrolet C1500 2wd Pick-up ,"1,500 Miles",Combined Highway/City,"Burlingame, CA, Ca",Spirited
"June 12, 2011",5.0,This is my second set of this very same tire.....both sets being installed on Ford Rangers....one a 1997 and the current set on a 2003.  These raised white letter tires look fantastic on Rangers sized trucks as well as most muscle cars.  I've had outstanding service from them in the past...and currently as well.  You can't go wrong with these tires!,2003 Ford Ranger Reg 2wd XLT ,500 Miles,Combined Highway/City,"Wichita Falls, TX",Average
"May 31, 2011",2.5,"Awful in rain, horrible in snow, hydroplaned twice, on the highway. Speed limit was 70 went 65MPH and lost control.",1998 Ford Ranger Super Cab 2wd ,"30,000 Miles",Combined Highway/City,"Detroit, MI",Average
"May 27, 2011",4.5,"This is the second set of tires on my 1976 Pontiac Trans Am installed in April.1987 from the Uniroyal PR-6 Tires and what a difference these B.F.Gooderich Euro T/A ""H"" Tires have made.",1976 Pontiac Firebird ,"15,000 Miles",Mostly City,"Toronto, ON",Average
"May 25, 2011",4.5,"These tires are mounted on  show car, The longest drive I took was about 3 hours on the highway, very comfortable ride considering the car is lowered 3"" and has had the suspension stiffened for handling purpouses.",1986 Chevrolet Monte Carlo SS ,900 Miles,Combined Highway/City,"AMHERST, NY",Average
"May 20, 2011",5.0,THESE BF GOODRICH TIRES FOR THE MONEY YOU CAN NOT BEAT EM I USE THEM AS MY DAILY HIGHWAY AND CITY DRIVEING THROUGH THE WEEK AND DRAG RACE ON THE WEEK ENDS THEY WILL SMOKE REALLY WELL IN A BURN OUT WHICH I LIKE AND THE HAVE AMAZING TRACTION I GIVE THEM A 10 AND WILL BUY A NEW SET NEXT TIME I NEED TIRES,1996 Chevrolet C1500 2wd Pick-up ,"40,000 Miles",Combined Highway/City,"ARDMORE , OK",Spirited
"April 13, 2011",4.0,I do not use these tires in the winter. I use four Winterforce studded snow tires instead. The BFG Radial T/A are a great summer tire with good wet weather grip which important to me. I would suggest the Wintforce tires for the snow. I live in a hilly area and the studded snows and traction control work great.,2004 Pontiac Montana 2wd ,"25,000 Miles",Combined Highway/City,"Milton, MA",Average
"April 13, 2011",5.0,I HAVE BEEN RUNNING THIS SAME TYPE AND BRAND SENCE 1983. EVERY THING ELSE; NO NAME OR NAME BRAND TIRE HAS HANDLED TO MY SATISFACTION IN ALL WEATHER CONDITIONS LIKE THE BFG T/A RADIAL........,1996 Chevrolet C1500 2wd Pick-up ,350 Miles,Combined Highway/City,"MILLEDGEVILLE , GA",Average
"March 17, 2011",4.0,"I have enjoyed owning these tires on my 1982 Pontiac Firebird (K.I.T.T.) Trans-Am.  The car has the optional 305 cubic inch Crossfire Injection V-8 which has lots of low end torque.  I have been able to hold turns with these tires much better than in any car I have owned - up to 25MPH faster in turns.  Sidewall flex seemed to be fairly minimal on winding back roads.  On wet roads I had good grip and maintained solid responsive steering, even up to 75MPH (I do not support dangerous driving).  Because of the light weight in the rear end of my car, these tires did not provide very good traction in snow or on ice - 120 pounds of sand helped enough to get around.  My next set will be slightly smaller as the 235s rub the front fenders on sharp turns, but overall these are great tires.  K.I.T.T. and I highly recommend them for anyone who appreciates a competent tire.",1982 Pontiac Trans Am ,"3,500 Miles",Combined Highway/City,"Beaver Falls, PA",Average
"March 09, 2011",4.5,"I experienced loss of control on an ice covered road, now granted I drive a light truck, and this may be an unfair review, but I was traveling on a flat stretch of roadway going 35 to 40 max and lost total control and slid into a fenceline. This was disconcerting, but to a degree, to be expected of a light duty truck empty.",2005 Chevrolet Colorado Extended Cab 2wd Z85 Base Model,"3,000 Miles",Mostly Highway,"Bastrop, TX",Spirited
"March 08, 2011",4.0,This tire is excellent.  I have replaced them with same size and type since I bought my 93 Ford F-150 .,1993 Ford F150 2wd Pick-up ,"65,000 Miles",Mostly Highway,"Bethalto, Il",Easy Going
"January 30, 2011",4.5,"These tires came on the truck when I bought it (used).  I have nothing but good things to say about this tire.  I have no experience with it in the snow.  However, with the torrential rains we get in FL, I have much experience with very wet road conditions.  Being on a pickup truck, spinning the wheels on wet roads can be very easy, but I find that these tires will really only spin on wet roads if you want them to.  When I got the truck, the tire had about 3/16s tread left on them.  I thought, 'Well, I'll be replacing them soon'.  But 16 months (and 19000 miles) later and they are still 1/32 above the wear bar.  Also, even with an inch of more of water on the road, I have never hydroplaned.  I stop and start quickly and tend speed most every I go (sorry, but it's the truth) and I have never had any issues with these tires performing wet or dry.  They are a great value and I highly recommend them.",2000 Ford Ranger Super Cab 2wd ,"20,000 Miles",Combined Highway/City,"Orlando , FL",Spirited
"January 20, 2011",5.0,OEM for 2011 LS Camaro,2011 Chevrolet Camaro LS ,"5,300 Miles",Combined Highway/City,"altamonte springs, fl",Average
"January 04, 2011",4.0,"I'm using these on the rear of my MR2 as they are a better size for the car than the 205s. Unfortunately H rated is not available in this size, but these tires are quite good.",1991 Toyota MR2 ,"6,000 Miles",Mostly Highway,"HOLLISTER, CA",Average
"January 02, 2011",5.0,"Here in florida sometimes it rains realy hard and I have had other tires that made me feel like I was out of control on a wet road.These BF Goodrich tires have never made me feel unsafe. Even when I am pulling a trailer I know I can stop when I need to,they have very good traction during braking even on a wet road.",1981 Chevrolet El Camino ,"2,000 Miles",Combined Highway/City,"PENSACOLA, FL",Spirited
"January 02, 2011",3.5,"Not a bad tire, but has always been noisey and wet stopping not all that good. To expensive for what you don't get.",1986 Toyota Pick-up 2wd ,"45,000 Miles",Combined Highway/City,"Hampton, VA",Average
"January 01, 2011",5.0,"My last set of B.F. Goodrich tires for my Subaru Outback almost ""never"" wore out. Currently, I have a set of ""long Trail"" B.F. Goodrich tires on the Subaru and they are great.",1997 Subaru Outback ,"25,000 Miles",Combined Highway/City,"MORAGA, CA",Average
"December 29, 2010",3.0,"i take them off in the fall and i will put them back on in the spring so far there are a real go tire, i will be able to tell better this spring when i put them back on and get a few more miles on them.",2006 Chevrolet Colorado LS Extended Cab ,"8,000 Miles",Mostly Highway,"COHOCTON, NY",Easy Going
"December 12, 2010",4.5,These tires are not for people whose main concern is gas mileage.  They are for people who want to be able to stop when it's important.  They have great grip.  This Frontier is a Desert Runner.  2WD truck on a 4WD chassis.  We live in Florida where it rains every summer.  The wet traction is exceptional.  The soft ride of these wider 60 series tires is so much better than the OEM tires.  I have had these tires on an Acura as well and the cornering is excellent for tires in this category.  I am going to replace these with another set.,2000 Nissan Frontier XE 2wd ,"40,000 Miles",Combined Highway/City,"Jacksonville, FL",Average
"December 07, 2010",4.5,"I'll let you know more when we know more.  The Blazer is driven only 2K a year, the tires were replaced as a precaution as they were 11 yrs old.  We don't get much snow here in Florida but I will know about wet traction next spring.",2000 Chevrolet Blazer 2wd 2dr ,250 Miles,Mostly City,"HOLLYWOOD, FL",Average
"November 19, 2010",2.5,"Very disappointing.  The original tires that came with the brand-new vehicle produced 36-38 MPG.  This replacement set was chosen by the Honda dealer after I had reached 55,000 miles on the original tires.  I keep my car in very good running condition, I have not changed my driving style, and I use the same gas as before.  But 1 year later after driving on them for 10,000 miles, I have never achieved more than 31 MPG.  My son urges me to increase the tire pressure from the usual 32 PSI to (perhaps) 36-38 PSI.  This should be dangerous, because the tire documents recommend 44 PSI as maximum.  I doubt that this additional pressure will add more than 2 or 3 MPG.  So the answer is to get rid of these tires and replace them with tires that will give me the previous 36-38 MPG.  With gas prices as they are here in California, the gas savings will pay for the replacement tires quickly.",2003 Honda Civic LX Sedan ,"10,000 Miles",Combined Highway/City,"Saratoga, CA",Average
"November 09, 2010",2.5,These are OEM tires.,2007 Ford Mustang Coupe,"30,000 Miles",Combined Highway/City,"EVERETT, WA",Average
"November 08, 2010",3.5,"Tires on Sienna (1 set and will replace with other brand) and Nissan Maxima (on second set) both hard on tires worn out at 30,000 mile (50% city 40 mph and 50% highway 70+ mph) when inflated to recommended pressure and regular alignments.  Out treads wear out quickly even with regular alignments.  On second set of tires on Maxima inflated to 38 to 40 psi the wear is much more even across tire, but very hard ride.  I estimate will get 40,000 miles with the extra psi.  I think the recommended pressures are too low with the increased load upon braking and cornering.  I've had this problem on also on the Michellin Pilot and X-radial, fast with Viva and to a lessor extent on Wal-Mart Douglas (longest lasting but no longer sold).",2003 Toyota Sienna XLE ,"30,000 Miles",Mostly City,"costa mesa, CA",Easy Going
"October 16, 2010",3.5,"High quality tire, good performance, good appearance. I like it!",1970 Chevrolet Chevelle SS ,"3,200 Miles",Combined Highway/City,"CHANUTE, KS",Average
"October 16, 2010",5.0,"These are my 2nd set of these tires. My 1st set got a little over 50,000 miles before I replaced them. They still had tread left when I sold them. This new set has a little over 10,000 miles on them and they look like new. A good wheel alingment goes a long way!!! Great ride. Nice and quiet, but still have a nice semi-agressive look.I highly recommend these tires.",2005 Dodge Ram 2500 QuadCab 4wd ,"10,000 Miles",Mostly Highway,"Elizabethton, Tn",Average
"October 11, 2010",3.0,"Bought these tires about 5,000 miles ago and drove on them all summer.  My car has the WS6 performance suspension and a few handling boltons. I push my car a lot out on twisty back roads and I have to say these tires are a definite weak point.  There's lots of sidewall flex and rollover in corners and it feels more like I'm driving a Ford Taurus than a sports car.  Wet traction is poor, which is fun if you like drifting and fishtailing everywhere but pulling out in traffic or merging on onramps can be tricky- I dropped a gear and got these to spin at about 30 mph in the rain while getting onto a highway.  These tires are very soft and did take some of the notorious harshness out of the Trans Am's ride, and they give pretty good traction for the average driver and are a pretty good tire overall.  They also look very 'racy' and get a lot of compliments with the white letters turned out.  I would not recommend these for more aggressive drivers or extremely hard cornering however.",1984 Pontiac Trans Am ,"5,000 Miles",Mostly City,"Evansville, IN",Spirited
"May 01, 2009",4.5,"I bought these tires upon the advice of Porter the rep I talked to when I first called looking for tires.Because my SL has been upgraded to 15' rims he thought the 225-60-15s would be a good fit for the car,I had wanted 235s but he said because of the offset they might be too much tire.Well he knew what he was talking about.On hard lock turns they just start to scrub.Not enough to make a mark but just enough to let you know you've maxed out your tire clearance.Pretty cool!                                                          ",1983 Mercedes-Benz 380SL ,"4,500 Miles",Combined Highway/City,"Myrtle Beach, SC",Spirited
"August 25, 2010",4.0,"This is maybe an ok tire for cars, but not for trucks, like my Ford Ranger it was on. It has very poor fuel efficiency, I was expecting my new AllTerrainTires to decrease the fuel efficiency but was shocked to see my mileage go up by 50 miles per tank with them on! NOTHING changed except my tires. AS for traction goes, great in the rain, handles very nice, nearing the end of their life, but that's b/c the previous owner(a family member of mine) got lazy with the rotations and balancing but with snow, not the best, far from it actually, on a shoveled driveway with a thin layer of snow... not too pleased when i got stuck, its an awful snow tire deep or thin. Especially on driveways where theres a thin lawyer of snow with slick packed snow on the bottom. I wouldn't buy simply b/c I go in wet gravel roads, and the winters are tough here, i got stuck in my friends grass one to many times with these tires, if all you are driving on is roads with good pavement and dont go out in bad snow, they should perform nicely. They usually handle excess water quite well but once they start to hydroplane, they don't get the grip back quick. These tires simply dont fit my driving style and the winters  are just too harsh. Most of the time im out driving with the snowplows in the early morning before the roads are clear or driving to clients houses way out in the boonies where i dont know if they're driveway is a swamp, and quite frankly, im sick of asking them to pull me out with their tractors... Tread life could be better in my opinion but has lasted 3 years with 45,ooo  but once again,the rotations were neglected.",1998 Ford Ranger Super Cab 2wd ,"45,000 Miles",Combined Highway/City,"Grand Rapids, MI",Average
"August 17, 2010",4.0,"I really like this tire. Although they don't have the highest speed rating or most aggressive tread, the Radial TA is a good solid performer.  I first tried them when Goodyear became much more expensive than BF Goodrich. My GN handled predictably, was very solid in hard cornering, and had good traction, even under hard acceleration. I had no problems in the snow & found them to be predictable under all conditions, even towards the end of their service life.  They're a bit more expensive these days, but I think they're just a great tire & look great on classis muscle cars.",1987 Buick Grand National ,"60,000 Miles",Combined Highway/City,"Boston, MA",Spirited
"August 10, 2010",4.5,"Now that I have driven it on slippery and snowy conditions, I found the tire has some imperfections. Still, very reliable on dry and rainy conditions. Good tires for street driving, particularly rough street riding.",1993 Chevrolet S10 2wd ,"25,000 Miles",Combined Highway/City,"Los Angeles, CA",Average
"May 11, 2010",4.5,Awesome tires for the old school hotrod look.,1987 Nissan 200SX XE ,20 Miles,Mostly Highway,"Poirtsmouth, VA",Average
"May 08, 2010",4.5,they were the best tire i ever had on the car i bought the tire when i bought the car and the tires lasted 3 1/2+ and even then there was still enough tread to pass inspection. in general an awsome tire,1998 Chevrolet Malibu ,"70,000 Miles",Mostly Highway,"Halifax, NS",Spirited
"April 23, 2010",4.0,"I bought these to use as reference tires while I upgraded suspension components on my Camaro. While not a serious performance tire, they did quite well for autocrossing when inflated to 45 psi front. After racing they were then deflated to normal values and driven home with no damage. I use this tire brand on my old muscle cars due to the variety of sizes available for 14 and 15 inch rims, but was suprised how well they perform when pushed very hard. A good value for the money.",1979 Chevrolet Camaro ,500 Miles,Track/Autocross,"DOWNERS GROVE, IL",Spirited
"April 14, 2010",3.5,"This is the only tire available for this classic import muscle car. Overall performance is very acceptable in dry weather. Wet weather driving demands extra caution due to its weird tread design which makes it hard to evacuate water. This is NOT an all-season tire by all means. If you drive with this in snow, you do so at your own risk. The treadwear of 400 tells you that it is good for 3 summers and that's it.",1985 Toyota Supra ,"3,000 Miles",Combined Highway/City,"Toronto, ON",Easy Going
"April 12, 2010",4.5,"These are the second set of tires I have purchased for my Oldsmobile. I was previously running Sumitomo HTR4 tires and were very impressed by them. Once it became time for the next set, I spent a considerable amount of time in choosing a tire. BFGoodrich was chosen not only because they are an American tire but because of the large amount of muscle car enthusiasts running the tire. I heard many good things about BFGoodrich tires and chose the Radial T/A. ",1990 Oldsmobile Cutlass Ciera ,"13,000 Miles",Mostly City,"Arkadelphia, AR",Spirited
"April 08, 2010",3.5,This is the only tire available for this classic muscle car. Dry handling is fine and predictable. Hydroplaning resistance is marginal due to its somehow weird tread design. This is really a summer tire by all means. No kidding.,1985 Toyota Supra ,"3,000 Miles",Combined Highway/City,"Toronto, ON",Easy Going
"March 17, 2010",3.0,"These are great tires if you never have to drive on snow or ice.  I live in the country with a very long driveway and after a snow have trouble getting out of the driveway.  Had Goodyear Wranglers before and could go anywhere within reason.  These tires however quickly lose traction on ice and in snow (more than about 3 inches).  If you live in a city/town where the streets are kept in descent shape then these tires are ok.  However, if you need to drive in snow deeper than a couple of inches try another tire.",1997 Ford Ranger 2wd ,"15,000 Miles",Combined Highway/City,"Muncie, IN",Average
"March 05, 2010",3.0,"These Tires are very good tires for 4 season and i would recomend them to anyone, Thanks!",2002 Chrysler PT Cruiser Touring ,"48,000 Miles",Combined Highway/City,"Hattiesburg, MS",Average
"February 22, 2010",5.0,"OEM tires on my early 2000 Sportage lasted 60,000 miles, after buying the TA's I really began having fun with this little clunker. I pushed through 20"" and more snow with 4 wheel and never got stuck. Did emergency delivery of pharmacuticals all over the state of Maryland. Now I am going to try them on my Chrysler T&C ltd",2000 Kia Sportage 4dr ,"105,000 Miles",Combined Highway/City,"Baltimore, Md",Spirited
"February 19, 2010",4.0,"I'm the original owner of this truck and we have covered 452,000 miles in 20 years.  Tried a few tires but based on good experience with my '64 Corvette, I settled on BFG T/A's over a decade ago.  On the stock 15 x 8 Rally wheels I get 60-70,000 mile wear, pretty good for a tire you can buy for less than $100.  Sometimes I have several hundred pounds of cargo in the back, they handle it with no problem.  Living at the beach in California I don't get in snow often but they've gotten me through storms when traveling through Vail and Aspen on business.",1990 Chevrolet Suburban 1500 2wd ,"60,000 Miles",Combined Highway/City,"Palos Verdes Estates, CA",Easy Going
"February 18, 2010",3.5,I have these tires on a 2003 jeep rubicon with 5.25 inches of lift 35 inch BFGs. These are very good tires. The more air you let out the more traction you get. If your axles arent very strong leave a little more pressure so you spin instead of bite and you wont break a axle.( I have upgraded axles) I have climbed rock waterfalls sand hills rock hills and straight boulders. For a 187 each for 35  fifteens. You just cant beat um. You can drop the pressure way down on these and get some serious traction. I go 7 or 8 lbs.( You could go lower if desired) In flat land sand they just float. On highway there fine but I like Mud tires. Mother nature can always TAME a tire but these work well and they look cool too. very good tire better than some that are 75 bucks more each.,2003 Jeep Wrangler Rubicon ,"6,500 Miles",Combined Highway/City,"Chino, Ca",Spirited
"February 15, 2010",4.0,HAD A COUPLE INCHES OF SNOW A WEEK AGO. HAD PEOPLE IN PICK-UPS STUCK GOING UP A COUPLE OF HILLS AND I JUST MOTORED RIGHT ON PAST THEM. WAS VERY IMPRESSED WITH THE TRACTION IN SNOW.,1994 GMC Sonoma 2wd ,500 Miles,Combined Highway/City,"KNOXVILLE, TN",Spirited
"February 11, 2010",4.5,"These tires were bought for a 1969 Cougar, that sees limited use in the warmer weather. These tires are giving good steering feel and response. Tire wear will have to be seen.",1989 Mercury Cougar ,"20,000 Miles",Mostly Highway,"Ottawa, ON",Spirited
"February 06, 2010",3.0,Might be good for a truck but they are terrible on my 280z. Breaks loose way too easily in the wet from acceleration and braking. Can't wait to get rid of them (purchased with car),1975 Datsun 280Z ,"5,000 Miles",Combined Highway/City,"Elk Grove, CA",Spirited
"January 07, 2010",3.0,i like em  good buy,2010 Ford Ranger XLT ,"30,000 Miles",Combined Highway/City,"saddle brook, nj",Average
"January 06, 2010",4.5,"These tires are the original equipment tires that came on my 2003 F250 Super Duty.  There are more than 8 years old and still can pass state inspection while the truck shows almost 60,000 miles on the odometer!  Great set of tires!",2003 Ford F250 SupCrew 4wd ,"59,555 Miles",Combined Highway/City,"Jacksonville, NC",Average
"January 06, 2010",4.5,"These tires are the original equipment tires that came on my 2003 F250 Super Duty.  There are more than 8 years old and still can pass state inspection while the truck shows almost 60,000 miles on the odometer!  Great set of tires!",2003 Ford F250 SupCrew 4wd ,"59,555 Miles",Combined Highway/City,"Jacksonville, NC",Average
"December 27, 2009",3.5,I have used these tires before and have been very satified with them. Good traction for a street tire and looks great on a classic car.,1970 Chevrolet Chevelle SS ,"1,500 Miles",Combined Highway/City,"CHANUTE, KS",Average
"December 15, 2009",4.0,Don't have too many miles on this tire yet but they seem to be an excellent tire for all around driving. Great price from tire rack and the bigger size on the Charger looks great. Haven't had them in snow yet but alot of rain and they fell good on the road not too harsh of ride but stick to the road pretty good. Definatly would recomend to a friend.,2006 Dodge Charger RT ,200 Miles,Combined Highway/City,"La Porte, IN",Spirited
"December 11, 2009",2.0,between 60 and 70 mph lots of viberation. feel every bump and crack in the road. bad choice in tire.,2002 Toyota Tacoma 2wd PreExtCab ,60 Miles,Mostly Highway,"haysville , ks",Spirited
"December 06, 2009",4.5,"I have had these tires on 3 different cars my sunfire, 94 tbird, and 89 mustang. Had great traction with all cars.  I have been known to heat them up a number of times but whatever I throw at them they keep me going. My set I have now i have about 58000 on and we just had snow and i only have about 2/32 on them and had no problem driving in the snow.  I just ordered another set of them and will keep getting them as long as i can.   Most other tires i get have great traction the first 10k miles but the way i drive they would loose traction after that.  I kind of hard on my cars but the radial t/a keep the traction longer.   We had a 4ft snow storm back in '03 and had no problem driving it in.",2002 Pontiac Sunfire SE Coupe ,"58,000 Miles",Combined Highway/City,"laurel, md",Spirited
"November 16, 2009",Not Rated,as of right now i love the tires look great and ride great they stick to the road,1994 Chevrolet Caprice LS ,20 Miles,Combined Highway/City,"Niles , MI",Average
"November 13, 2009",4.5,"These tires came on my 2003 Ford F250 Super Duty.  I do a 5 tire rotation every 3000 miles.  The tires are wearing beautifully... very flat, no erratic wear patterns...Too bad Goodrich changed the tire pattern...they didn't know what they had....I have a 34 foot trailer that I pulled to fl, NY, Va...Wonderful tires. Howard Piotrovsky, NC.",2003 Ford F250 SupCrew 4wd ,"59,256 Miles",Combined Highway/City,"Jacksonville, NC",Easy Going
"November 12, 2009",4.5,"I've had this set of T/A's on my Chevelle for almost 8 years. I don't do burnouts or jack rabbit take-offs, but these tires are still going strong.",1971 Chevrolet Chevelle SS ,"15,000 Miles",Mostly City,"Hubert, nc",Easy Going
"October 26, 2009",5.0,Great tire very low road noise and good traction all at a great price.,2006 Dodge Charger RT ,50 Miles,Combined Highway/City,"Jacksonville, FL",Spirited
"August 21, 2009",4.5,"thanks tire rack. i ordered a pair of these tires and got them 3 days later. so i ordered another pair of bfg radial t/a 245 55 18. looks great on 18x7.5"" chrome lincoln 8 spoke wheels off of mkx onto black crown victoria police interceptor w/chrome package. my chevy travel van has bfg radial t/a 275 60 15. my gta has bfg comp t/a 255 50 16. best brand for the money. american cars should ride on american rubber i think, and i'm canadian eh! harryv8 from vancouver.",2004 Ford Crown Victoria ,20 Miles,Mostly City,"vancouver, bc",Average
"August 20, 2009",4.5,"I drive my Elco like I stole it.  Hard on the throttle and then even harder on the brakes.  I went on a Back to School run up Hwy. 33 in Ventura County CA with a bunch of BMW buddies to show that American cars can keep up with their BMW's and they where blown away how my 86 Elco handled and kept with them every bit of the way.  Didn't get loose at all and went thru the corners like it was on rails.  Although the tread life was less than expected I think it may have some to do with my driving habits rather than the tires themselves.  Great tire, no problems with balance, even tread wear across tire and looks are the TOPS with RWL's facing out of course.",1986 Chevrolet El Camino ,"25,000 Miles",Combined Highway/City,"Camarillo, CA",Spirited
"July 29, 2009",3.5,"I'm a Driver who pushes the limits, I may not have the car for my style of driving but the these tires make it possible. Corning at high speeds and responsiveness on these tires are at levels of some the best tires out there of light trucks. These tires will dig you out of just about anything thing, and will get loose when asked, the stay on the ground very well unless your putting alot of power to the ground. they hug the road and are a blast to drive with.",1991 Ford Ranger 2wd ,"50,000 Miles",Combined Highway/City,"Cleveland, OH",Spirited
"July 24, 2009",3.5,"After driving 11000 miles all the tires were out of round, and of course would not retain a proper balance.  This caused shaking and vibration in the Monte Carlo at speeds of 55 mph and up. Also the tires were getting louder as time went on.  Only 66% of tread left on the tires after 11K miles!  This is unacceptable and I would not recommend these tires to anyone.  Don't buy these and waste your hard earned money!  After 11K miles, I replaced the BFG's with a set of Mich MXV4's.",2004 Chevrolet Monte Carlo SS ,"11,000 Miles",Combined Highway/City,"Tucson, AZ",Spirited
"July 20, 2009",3.5,"This is the third set of tires that I have purchased for my 85 Toyota Celica GTS. The first set of tires were actually the tires that were on my GTS when I purchased it new. The second set of tires were made by the Cooper Tire Company. The Cooper tires were the worst tires (wear-wise)that I have ever purchased. The Cooper's wear out in the center very quickly. I had three blow outs on the Cooper's within 21,000 miles. On the other hand, the BF Goodrich tires that I replaced the Cooper's with now have approximately 29,000 miles and I have not had one problem with the BF Goodrich tires. The Goodrich tires have worn evenly and still have plenty of meat left on them. Great tire!",1985 Toyota Celica GTS ,"35,000 Miles",Combined Highway/City,"San Bernardino, CA",Average
"June 14, 2009",4.5,"Optional upgrade size for a 15 year old Mini-Van. Excellent ride, quietness, and stearing feel. As for handling. I just don;t do that in a 15 tear old van. They have my first raised white letters and are American made. Extremely pleased with these tires",1995 Dodge Caravan 14 Inch OE,500 Miles,Mostly Highway,"Leesburg, FL",Average
"June 10, 2009",4.5,"Excellent tire for this vehicle.  This is my 3rd set.  I'd definitely buy them again.  I've been getting 27,000 to 30,000 per set.",1999 Dodge Dakota 2wd ,"5,000 Miles",Combined Highway/City,"CARY, NC",Average
"June 09, 2009",3.5,"This tire purchase was to replace a damaged tire on my Corvette. I have had these tires on the car for about 5 years & put about 8K miles on them. They are terrible on the quarter mile. My 74 Stingray has a ""slightly massaged"" 454V8 putting out 500+ hp/tq to the rear wheels. I would expect these tires to hook up better though, it seems other corvettes in my HP range with other tires hook up better. These tires wash out in corners pretty bad. But I guess that is what you get with these older high profile sidewall tires.",1974 Chevrolet Corvette ,26 Miles,Combined Highway/City,"DUVALL, WA",Spirited
"May 28, 2009",Not Rated,Used on 70 Chevelle SS street strip...is there any other tire that matches the nostalgia and performance?  Who cares....these just look right and all bets are off on treadwear ratings when I light them up and do donuts downtown on saturday nights!   Just kidding!  Tires ain't cheep!,1970 Chevrolet Monte Carlo ,"1,000 Miles",Combined Highway/City,"THE PLAINS, VA",Spirited
"May 15, 2009",5.0,"There is only tire company i will ever buy from, BF Goodrich. i have them on my 85 camaro and my truck. The tires perform great and last a long time. the first thing i do when i buy a vehicle is put BF Goodrich tires on, either for street use or off road use they are great.",1985 Chevrolet Camaro ,500 Miles,Mostly City,"Maumee, OH",Easy Going
"May 05, 2009",4.0,"1963 VW Beetle with modified wheels widened to 6"" (from standard 4""), otherwise, no modifications to running gear.  I wanted white letter tires, and these seem to have a much higher rating than a similar Goodyear, which rated poorly in wet conditions. ",1963 Volkswagen Beetle ,"3,000 Miles",Combined Highway/City,"San Francisco, CA",Average
"April 22, 2009",5.0,"i have had these tires on about 4 vehicles i have owned over the years. i drive in many different conditions from mud to highway. i have never worried about tire failure with these they are very reliable. most definitly in mud or snowy conditions. about 3 years ago i had a saturn and i always smoked the tires no matter where i went well i had these radial t/a's on there for about two years. and when it came time for winter i was considering getting some new ones because these were almost bald, but much to my surprise i drove all winter with them and never had one close encounter, i could stop fine and accelerate with no problem and never once got stuck, i always encountered lots of bad weather and road conditions because i live in the middle of nowhere and the roads are poorly maintained, but overall i will continue to purchase these tires for as long as they are available.",1987 Ford Ranger 2wd ,"60,000 Miles",Combined Highway/City,"melbourne, on",Spirited
"April 20, 2009",3.0,"I only have a choice of three or four tires for the size I need that have RWL. I always choose these as they're the best appearing and have really good traction for what they are which is a muscle car and light truck tire. If you use them for the wrong application prepare to have unsatisfactory results. Hey, these model tires haven't been around for a hundred years for no reason.",1993 Chevrolet C1500 2wd Pick-up ,"30,000 Miles",Combined Highway/City,"12345, CA",Spirited
"April 04, 2009",5.0,"when I told Porter my salesman ,I had plus 1 size chrome Benz wheels(15x7.5) He reccomended the TA s due to size and they were on sale.I bought 4 225x60 15s and have been extremely pleased with the look,handling and the ride.I put them on white letters out and they really make my Gold 380SL look sharp!Shes steady as a rock at cruise speeds,in excess of 100 mph or around town.I LOVE these tires.Cant wait to get some for my 69 and 70 Spitfires.",1983 Mercedes-Benz 380SL ,500 Miles,Combined Highway/City,"N Myrtle Beach, SC",Spirited
"March 30, 2009",4.5,"Only 500 miles so far, but the car drives much better. The old tires served their purpose and did quite well for all-seasons. Everything is sooooo much better with these on the front. I've had BFs before and decided to come back to a tire that I know works well.",1996 Chevrolet Caprice ,500 Miles,Combined Highway/City,"AKRON, OH",Spirited
"February 20, 2009",4.0,"In the 440,000 original miles I've put on my work truck, I tried a few different types and brands of tires.  Based on my good experience with Radial T/As on my 1964 Corvette, I went with 255/70 x 15s on my 8 1/2 x 15 stock Rally wheels and have had several sets since.",1990 Chevrolet Suburban 1500 2wd ,"40,000 Miles",Combined Highway/City,"Palos Verdes Estates, CA",Easy Going
"February 15, 2009",4.5,"the BF Goodrich Radial T/A tires are excellent tires. My current set will need replacing soon, and look forward to a new set of BF G's",1995 Mercury Cougar XR7 ,"20,000 Miles",Mostly City,"New Bern, nc",Spirited
